epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,488.342,1.1545,0.77369,1.17882,0.80991,0.88298,0.909,0.52203,1.45736,0.8578,1.32704,0.0009605,0.0009605,0.0009605
44,499.495,1.14917,0.82083,1.19632,0.78633,0.93085,0.91651,0.53767,1.42588,0.8456,1.32356,0.00093575,0.00093575,0.00093575
45,510.769,1.18458,0.78213,1.23535,0.82492,0.88298,0.92414,0.53043,1.43176,0.82857,1.33122,0.000911,0.000911,0.000911
46,522.654,1.16856,0.7788,1.20712,0.83417,0.85625,0.91143,0.51546,1.478,0.85691,1.38081,0.00088625,0.00088625,0.00088625
47,534.7,1.16057,0.81228,1.23247,0.80821,0.89662,0.91278,0.52737,1.40323,0.85548,1.31734,0.0008615,0.0008615,0.0008615
48,545.836,1.1406,0.76112,1.19235,0.8561,0.87766,0.92312,0.53372,1.36492,0.82132,1.2895,0.00083675,0.00083675,0.00083675
49,556.814,1.1463,0.77263,1.17138,0.82705,0.89362,0.9144,0.53077,1.35991,0.83178,1.28897,0.000812,0.000812,0.000812
50,568.015,1.15336,0.75868,1.19139,0.80517,0.85732,0.88897,0.51815,1.40873,0.86911,1.31203,0.00078725,0.00078725,0.00078725
51,579.197,1.12741,0.73305,1.17004,0.85311,0.83413,0.91502,0.5382,1.40548,0.83715,1.30281,0.0007625,0.0007625,0.0007625
52,591.344,1.11729,0.73261,1.16572,0.82369,0.90426,0.93315,0.5475,1.41167,0.8138,1.30565,0.00073775,0.00073775,0.00073775
53,606.367,1.10649,0.72735,1.17075,0.8461,0.85106,0.92156,0.54834,1.39836,0.78814,1.29601,0.000713,0.000713,0.000713
54,618.081,1.09595,0.73108,1.16429,0.87182,0.85638,0.93388,0.54665,1.39069,0.77993,1.28299,0.00068825,0.00068825,0.00068825
55,629.501,1.10349,0.72673,1.15345,0.84651,0.87234,0.92803,0.54666,1.37641,0.76974,1.26776,0.0006635,0.0006635,0.0006635
56,641.059,1.1021,0.7351,1.17295,0.81623,0.89362,0.90842,0.51311,1.36964,0.82051,1.29004,0.00063875,0.00063875,0.00063875
57,652.07,1.08405,0.72448,1.18803,0.81834,0.89362,0.8922,0.50547,1.3757,0.83928,1.31087,0.000614,0.000614,0.000614
58,663.032,1.04485,0.72318,1.13465,0.81921,0.88298,0.89774,0.51187,1.39748,0.83285,1.32188,0.00058925,0.00058925,0.00058925
59,674.678,1.05549,0.67777,1.13706,0.83268,0.89999,0.90933,0.51637,1.43695,0.80047,1.33867,0.0005645,0.0005645,0.0005645
60,686.605,1.08509,0.68986,1.1495,0.82738,0.89235,0.90401,0.51067,1.41931,0.79909,1.32402,0.00053975,0.00053975,0.00053975
61,698.574,1.08659,0.71633,1.14857,0.82221,0.87234,0.88972,0.50126,1.42616,0.82052,1.33193,0.000515,0.000515,0.000515
62,710.239,1.04126,0.69114,1.12226,0.82318,0.8915,0.90769,0.52156,1.44396,0.81109,1.33974,0.00049025,0.00049025,0.00049025
63,721.924,1.04237,0.69262,1.12929,0.81829,0.88629,0.90422,0.52236,1.44691,0.8101,1.35036,0.0004655,0.0004655,0.0004655
64,734.182,1.04838,0.68072,1.12235,0.81826,0.8883,0.91435,0.53023,1.43573,0.80487,1.3454,0.00044075,0.00044075,0.00044075
65,745.977,1.02456,0.6582,1.10361,0.81886,0.88298,0.91042,0.51815,1.45033,0.8119,1.35355,0.000416,0.000416,0.000416
66,757.31,1.06671,0.6824,1.1383,0.84036,0.84,0.90088,0.5208,1.44528,0.81561,1.34264,0.00039125,0.00039125,0.00039125
67,768.419,1.06524,0.68514,1.13463,0.81407,0.87234,0.90298,0.53101,1.4198,0.80293,1.32349,0.0003665,0.0003665,0.0003665
68,779.761,1.05966,0.68857,1.12847,0.81805,0.87234,0.90303,0.53055,1.41436,0.80094,1.32383,0.00034175,0.00034175,0.00034175
69,791.161,1.00955,0.66049,1.10526,0.86487,0.85106,0.89957,0.50912,1.45674,0.81682,1.35819,0.000317,0.000317,0.000317
70,803.178,1.00553,0.65973,1.13399,0.85078,0.85638,0.90136,0.504,1.48355,0.825,1.37917,0.00029225,0.00029225,0.00029225
71,815.022,0.96353,0.65884,1.10561,0.80036,0.91697,0.89519,0.49401,1.49956,0.84028,1.39749,0.0002675,0.0002675,0.0002675
72,826.634,0.99308,0.66856,1.09442,0.82612,0.88451,0.89735,0.50663,1.4686,0.86619,1.3834,0.00024275,0.00024275,0.00024275
73,838.142,0.95788,0.63852,1.08479,0.78734,0.92556,0.90464,0.51778,1.442,0.84916,1.36658,0.000218,0.000218,0.000218
74,849.213,0.94163,0.6426,1.08503,0.82047,0.87512,0.91092,0.53078,1.42478,0.83073,1.35404,0.00019325,0.00019325,0.00019325
75,860.238,0.96475,0.62449,1.08995,0.84021,0.87766,0.9095,0.52978,1.41375,0.82653,1.34255,0.0001685,0.0001685,0.0001685
76,871.686,0.98079,0.61281,1.10129,0.83678,0.87234,0.90468,0.52457,1.41535,0.8327,1.34823,0.00014375,0.00014375,0.00014375
77,883.613,0.9564,0.61195,1.08183,0.83724,0.87558,0.90614,0.52898,1.41434,0.82376,1.34432,0.000119,0.000119,0.000119
78,895.605,0.94281,0.6204,1.0815,0.83787,0.87234,0.90844,0.52755,1.41302,0.81211,1.34805,9.425e-05,9.425e-05,9.425e-05
79,907.6,0.93876,0.60842,1.06906,0.83813,0.8813,0.91005,0.52788,1.41353,0.8063,1.3476,6.95e-05,6.95e-05,6.95e-05
80,920.12,0.95675,0.64682,1.08222,0.83649,0.87078,0.91051,0.52584,1.41567,0.80519,1.34913,4.475e-05,4.475e-05,4.475e-05
